Label	Tweet text
1	Sweet United Nations video . Just in time for Christmas . #imagine #NoReligion http://someurl
1	@someuser We are rumored to have talked to Erv's agent ... and the Angels asked about Ed Escobar ... that's hardly nothing ;)
1	Hey there ! Nice to see you Minnesota / ND Winter Weather
0	3 episodes left I'm dying over here
1	" I can't breathe ! " was chosen as the most notable quote of the year in an annual list released by a Yale University librarian
0	You're never too old for Footie Pajamas . http://someurl
1	Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree ..
0	4:30 an opening my first beer now gonna be a long night / day
0	@someuser do you think you would support a guy who knocked out your daughter ? Rice doesn't deserve support .
0	@someuser You are not allowed to open that until Christmas day !
1	Oh , thank GOD - our entire office email system is down ... the day of a big event . Santa , you know JUST what to get me for xmas .
0	But instead , I'm scrolling through Facebook , Instagram , and Twitter for hours on end , accomplishing nothing .
0	@someuser :p outing_face : no he bloody isn't I was upstairs getting changed !
0	Cold or warmth both suffuse one's cheeks with pink ( colour / tone ) ... Do you understand the underlying difference & its texture ?
1	Just great when you're mobile bill arrives by text
1	crushes are great until you realize they'll never be interested in you . | :p
1	Buffalo sports media is smarter than all of us . Where else can you get the quality insight offered by Harrington and Busgaglia .
0	I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day . | | #Eating | #food | | #WorkingOut
1	@someuser @someuser trading a SP for a defense-only SS ? Brilliant trade .
1	But @someuser was trying to find us , and my battery died . Guess how he found us ? Yes , that bastard wand ! ! ! !
1	@someuser please do .. i need the second hand embarrassment so desperatly on my phone
0	I never cared for Beyonce , bc I could never get a sense of who she was . Her interviews lacked depth . @someuser tho ... this girl got IT .
1	@someuser time to hit the books then
0	@someuser THX 4FLW ! FLWtheMUSIC @someuser @someuser WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground !
1	Love these cold winter mornings : grimacing_face : best feeling everrrrrrr !
0	Amazingly http://someurl is not owned by #BHP . They are going to have to shell out some decent money for it . #BHPBilliton #South32
0	Wish she could have told me herself . @someuser #nicolescherzinger #OneLove #myfav #MyQueen : heavy_black_heart : ️ : heavy_black_heart : ️ http://someurl
0	The rain has made extra extra lazy : smiling_face_with_open_mouth_and_cold_sweat :
0	I was doing great with this summary of my year until I got to June 27th , and the weekend of @someuser ' s birthday . #rivertrip #groupchat
0	see , that MIGHT show up on a background check , and you'd be denied its a catch 22 we have the right to self protection @someuser
1	Smh never knew something could be 80 % halal ... Been muslim my whole life but somehow i've learned something new i guess
1	A wonderful day of starting work at 6am
0	i feel like whole life is about waiting waiting and waiting
0	@someuser lol : grinning_face_with_smiling_eyes : .. Will let my kids know when they get up in the morning .. Thanks for the tip
1	@someuser you guys sure screwed this up royally . I'm happy for Lester , the brain trust over there sucks . #nicejob #LesterToChicago
0	#Aussie #gunman #was #on terrorist #watch #list , PM #says : SYDNEY – The gunman who took 17 hostages in Sydney ... http://someurl
1	" Twig " is now " Sprig " — 3 sec limit on new social video platform #techtalk #editorspick #sillyvine #Tr ... https://t.co/0DMkcXpYzq
0	@someuser and what will that achieve ? Seriously ? To be fired.all the guys who had the balls to call them out are gone ..
1	Yay for another work at 4am day : neutral_face :
1	Physical therapy at 8 am is just what I want to be doing with my Friday #iwanttosleep
1	Omg @someuser didn't tell @someuser he was in town : face_screaming_in_fear : #trueFriend
1	I THOUGHT WHAT WE HAD WAS REAL , HOW COULD YOU BE FINE ? COZ I'M NOT FINE AT ALL Oh wait . Fixed the caps lock ^ . ^ #LaughNow . o .
1	HaHaHaHa ! ! #hypocrisy " MT @someuser : Katie Hopkins calls Russell Brand a bully ... : http://someurl "
1	That moment when you have so much stuff to do but you open @someuser ... #productivity #tumblr
0	Lol ! I m enjoying it : two_women_holding_hands : #Talks #Crazyness #SheNeverLeft sleepy ! ! : white_smiling_face :
1	Luv this
1	: When some naturopaths sell " aromatic " herbs the way apothecaries sell noxious poisons . #Naturopath = #Apothecary #Herb = #Poison
0	" @someuser : Goal of the Season 1970 : GOAL 1 . Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 " @someuser @someuser
0	really , what else can a fish be besides a fish ? @someuser @someuser @someuser @someuser
0	@someuser I think it's a safe bet it won't fit the crime .
1	It will be impossible for me to be late if I start to dress up right now . #studing #university #lazy
1	When you're already running late and then your car won't start < < < #FantasticFriday
1	i decided to become my own boss to have more free time .. now i have no time left whatsoever .
0	loyalty vs . self protection loyalty vs . self protection loyalty vs . self protection loyalty vs . self protection
0	American Kids starting playing and now I'm super missing #summer2k14 #kennychesney
0	@someuser don't know how #Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured #net positive ?
0	None of the big , disruptive innovations in our lives have come out of brainstorming . - Bruce Nussbaum http://someurl
0	that way people get to understand disabilities and not stare at us funny wen we out and about #IDPwD #disability
1	@someuser @someuser Shit ! I better shut my stupid girly mouth because im so concerned about what men might think of me .
0	Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth ?
0	Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue
0	@someuser " Dirk's got a lot of moves I'm trying to steal . " - Kevin Durant on his one-legged fadeway
1	About once a yr I get a little nutty and reach for the orange marmalade . #livingontheedge http://someurl
1	Rogers , that smile just so accurately captures my reaction when I receive an extra high phone bill ! http://someurl
1	Whatever happened to the Guano Apes ? Did they ever make it " Big in Japan " ?
0	Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the ... http://someurl
0	Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing .
0	Whenever I get sad about how things are going now , I just think of how awesome the future looks to be . #secondsemester #drumcorps #college
1	I asked God to protect me from my enemies .. shortly after I started losing friends : flushed_face :: hundred_points_symbol : or #naah
1	Just delivered @someuser #cronuts to @someuser hmmm its for a customer I hope ! ! ! http://someurl
1	Such . You still have to #praisehim ;)
0	Hey heyy ! ! ! I ... wanna be a rockstar #vscocam hero #vsocam #hero #spiderman http://someurl
1	" @someuser : . @someuser awk moment when I tweeted first #fakefan ! ! ! "
0	Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://someurl
1	@someuser @someuser @someuser @someuser @someuser nice to see the ambulance service is so important to OUR mps
1	I love finals week ! #justkidding #stressed
0	@someuser fucking copycat , although you're name is mint and the act we share it is probably a cause for alcohol filled celebration ! ! !
0	Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek Ready #JustShootMeKnow
0	@someuser Because I disagree w / you ? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards .
1	. @someuser . @someuser Oh that makes it all better ! ! !
0	Why didn't I start watching the tudors earlier ? #iloveit
0	@someuser http://someurl #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @someuser https://t.co/cpJZkEgNe7
0	don't knw how to react everytime sum 1 says me being in a wheelchair " inspires " them ! im just living they same you are dude
0	GET AHT A TAHN ! | The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @someuser
0	On my lunch break so sleepy : sleeping_face :
1	#Work #Trains #TheGrind #London #Business #MyHappyFace http://someurl
1	dude said I better think hard , so he can take me to cheddars lmao !
0	My #Christmas ritual ... part one . #HowTheGrinchStoleChristmas http://someurl
0	Overcast at Creso . #todayimloving #beachwalk #crescenthead http://someurl
0	2014 can't end fast enough ! Stupid dead battery .
1	Not even 8am and I can already see this is going to be a wonderful day #needmorecoffee
1	I have an idea , how about 911 operators don't ever describe race ? | | And police have to wear color blind glasses ? | |
1	@someuser but Russell is a good christian fella , he wouldn't do that .
0	Apparently my youth group thinks " Are you kidding me ? " is my default expression--or " nomal face . " #areyoukiddingme http://someurl
1	@someuser #PSA Hey Jay , I tuned in when u said " why all the cocaine talk today ... after tweeting coke joke saw it's Escobar's 65th
0	Interviewed a turkey & here's what he had to say http://someurl #Thanksgiving
1	Planned on an early night last night .. Oh yaa course that happened .. #gotinterupted
1	@someuser your last retweet though
1	2v4 S & D matches are just so fun ...
1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun ... :p ile_of_poo :
1	I love waking up at 8 am on a Saturday morning after going to bed at midnight
1	A day where ruled @someuser , I got followed by @someuser . Wht a day ! ! Lollllll .
0	Jusuf Nurkic #Bulls RT @someuser : He clearly has a lot of talent . Kind of amazing that Denver got him and Gary Harris for McDermott .
0	I don't even have progress on my thesis tas preparations for our event this thursday : weary_face :
1	Gym and I are gonna have a reeeaaalll nice date tomorrow . #imgoingtostruggle #VSFS2014
0	Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night ? Even motel 6 can do better than that . #Zing
0	Had a nice 3 hour nap . Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @someuser I added water chestnuts to my dinner
0	@someuser @someuser The Bears are probably the worst franchise in football at the moment .
